molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL47882,C=CCNC(=S)Nc1ccc(-c2nnc(SCc3ccc(Cl)cc3Cl)n2C)cc1,10.0,active
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,147.0,active
CHEMBL175244,CCCCCCCCCCSc1ncnc2c1ncn2CC(=O)OC(C)(C)C,10.0,active
CHEMBL177834,CCCCCCCCCCCCSc1ncnc2c1ncn2CC(=O)OCC,10.0,active
CHEMBL369695,CCCCCCCCCCSc1ncnc2c1ncn2CC(=O)OCC,62.5,active
CHEMBL196076,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCN(c3ccc(F)cc3)CC2)c1O,13970.0,inactive
CHEMBL64,NNC(=O)c1ccncc1,45570.0,inactive
CHEMBL382508,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN(C)C)c1O,20000.0,inactive
CHEMBL371672,CCN(CC)Cc1cccc(/C(C)=N\NC(=O)c2ccncc2)c1O,18350.0,inactive
CHEMBL198453,CCCCN(CCCC)Cc1cccc(/C(C)=N\NC(=O)c2ccncc2)c1O,15760.0,inactive
CHEMBL198317,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCCCC2)c1O,17730.0,inactive
CHEMBL199042,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCCC2)c1O,18470.0,inactive
CHEMBL373203,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCOCC2)c1O,17630.0,inactive
CHEMBL198433,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN(c2ccccc2)c2ccccc2)c1O,14320.0,inactive
CHEMBL198434,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCNCC2)c1O,17680.0,inactive
CHEMBL199044,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCN(C)CC2)c1O,17200.0,inactive
CHEMBL196824,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN(Cc2ccccc2)Cc2ccccc2)c1O,13460.0,inactive
CHEMBL372195,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)c1O,10440.0,inactive
CHEMBL197582,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(Cc4cccc(/C(C)=N\NC(=O)c5ccncc5)c4O)C(C)C3)c(F)c21,10100.0,inactive
CHEMBL197852,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCN(c3ccccn3)CC2)c1O,14520.0,inactive
CHEMBL381467,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCN(Cc3ccccc3)CC2)c1O,14090.0,inactive
CHEMBL227960,NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,194.98,active
CHEMBL227499,O=C(N/N=C/c1ccnc2cc(Cl)ccc12)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,660.69,active
CHEMBL375912,O=C(N/N=C/c1ccnc2ccccc12)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,69.18,active
CHEMBL226983,O=C(N/N=C/c1ccncc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,6456.54,intermediate
CHEMBL373945,O=C(N/N=C/c1cccnc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,13489.63,inactive
CHEMBL228193,O=C(N/N=C/c1ccccn1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,2884.03,intermediate
CHEMBL227657,O=C(N/N=C/c1ccco1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,79.43,active
CHEMBL227603,O=C(N/N=C/c1cccs1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,75.86,active
CHEMBL227437,O=C(N/N=C/c1ccc[nH]1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,79.43,active
CHEMBL387667,O=C(N/N=C/c1c2ccccc2cc2ccccc12)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,6309.57,intermediate
CHEMBL227630,CN(C)c1ccc(/C=N/NC(=O)c2cc(C34CC5CC(CC(C5)C3)C4)c3ccccc3n2)c2ccccc12,3311.31,intermediate
CHEMBL227505,COc1ccc(/C=N/NC(=O)c2cc(C34CC5CC(CC(C5)C3)C4)c3ccccc3n2)c2ccccc12,9549.93,intermediate
CHEMBL388197,COc1ccc2ccccc2c1/C=N/NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,5754.4,intermediate
CHEMBL387500,O=C(N/N=C/c1ccc(C(F)(F)F)cc1C(F)(F)F)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,6456.54,intermediate
CHEMBL227446,O=C(N/N=C/c1c(F)c(F)c(F)c(F)c1F)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,66069.34,inactive
